order_id,date,customer_id,customer_name,city,zip_code,county,product_category,product_name,bottles_sold,order_amount,order_amount_sek,volume_sold_liters,volume_sold_gallons
INV-57100400022,2023-03-30,5127,PRICE CHOPPER  /  INGERSOLL,DES MOINES,50312.0,POLK,SPICED RUM,SAILOR JERRY SPICED NAVY RUM,12,180.0,1800.0,9.0,2.37
INV-57099800006,2023-03-30,5107,KUM & GO #4098 / WINDSOR HEIGHTS,WINDSOR HEIGHTS,50311.0,POLK,CANADIAN WHISKIES,BLACK VELVET,2,33.0,330.0,3.5,0.92
INV-57085100062,2023-03-30,10183,CROWN LIQUOR & SMOKE / IOWA CITY,,,,AMERICAN SCHNAPPS,DEKUYPER RASPBERRY PUCKER,2,20.26,202.60000000000002,1.5,0.39
INV-57096600005,2023-03-30,2515,HY-VEE FOOD STORE #1 (1410) / MASON CITY,MASON CITY,50401.0,CERRO GORDO,IMPORTED VODKAS,ABSOLUT SWEDISH VODKA 80PRF,24,539.76,5397.6,24.0,6.34
INV-57098400084,2023-03-30,2582,HY-VEE #2 FOOD STORE / MASON CITY,MASON CITY,50401.0,CERRO GORDO,IMPORTED CORDIALS & LIQUEURS,MIDORI MELON LIQUEUR,3,51.72,517.2,2.25,0.59
INV-57100500104,2023-03-30,2248,INGERSOLL LIQUOR AND BEVERAGE,DES MOINES,50312.0,POLK,IMPORTED DISTILLED SPIRITS SPECIALTY,SOOH JINRO SOJU,12,100.8,1008.0,9.0,2.37
INV-57094100033,2023-03-30,4509,AJ'S LIQUOR II,AMES,50010.0,STORY,AMERICAN FLAVORED VODKA,TRULY PINEAPPLE MANGO MINI,3,19.35,193.5,0.15,0.03
INV-57106500034,2023-03-30,10021,WORLD CLASS LIQUOR AND TOBACCO / BONDURANT,BONDURANT,50035.0,POLK,FLAVORED RUM,CAPTAIN MORGAN COCONUT,6,74.34,743.4000000000001,4.5,1.18
INV-57091400028,2023-03-30,4687,KUM & GO #517 / CEDAR RAPIDS,CEDAR RAPIDS,52402.0,LINN,WHISKEY LIQUEUR,FIREBALL CINNAMON WHISKEY,1,13.5,135.0,0.75,0.19
INV-57101100009,2023-03-30,4877,WORLD LIQUOR & TOBACCO,CLIVE,50325.0,POLK,CANADIAN WHISKIES,REVEL STOKE SMOREGASM TOASTED SMORES WHISKY,2,27.06,270.59999999999997,1.5,0.39
INV-57095700008,2023-03-30,4969,LAKE LIQUORS WINE AND SPIRITS,CLEAR LAKE,50428.0,CERRO GORDO,CANADIAN WHISKIES,CANADIAN LTD WHISKY,24,198.0,1980.0,24.0,6.34
INV-57099300002,2023-03-30,2691,HY-VEE FAST & FRESH - DES MOINES,URBANDALE,50322.0,POLK,CANADIAN WHISKIES,CROWN ROYAL REGAL APPLE,6,76.44,764.4,2.25,0.59
INV-57104800052,2023-03-30,2594,HY-VEE FOOD STORE / SIOUX CITY,SIOUX CITY,51106.0,WOODBURY,FLAVORED RUM,CRUZAN BLACK CHERRY,12,126.0,1260.0,9.0,2.37
INV-57086400011,2023-03-30,2528,HY-VEE FOOD STORE #3 (1142) / DES MOINES,DES MOINES,50315.0,POLK,STRAIGHT RYE WHISKIES,HIGH WEST DOUBLE RYE WHISKEY,3,157.5,1575.0,5.25,1.38
INV-57103800016,2023-03-30,2571,HY-VEE FOOD STORE #2 / WATERLOO,WATERLOO,50703.0,BLACK HAWK,AMERICAN CORDIALS & LIQUEURS,99 BRAND CHERRY LIMEADE PET MINI,1,77.4,774.0,0.05,0.01
INV-57099100005,2023-03-30,2626,HY-VEE DRUGSTORE / UNIVERSITY / DSM,DES MOINES,50311.0,POLK,STRAIGHT BOURBON WHISKIES,EVAN WILLIAMS BLACK,6,153.0,1530.0,10.5,2.77
INV-57100200001,2023-03-30,6264,MLK LIQUOR LLC / DES MOINES,DES MOINES,50310.0,POLK,TENNESSEE WHISKIES,JACK DANIELS OLD #7 BLACK LABEL FLAT,24,288.0,2880.0,9.0,2.37
INV-57094100071,2023-03-30,4509,AJ'S LIQUOR II,AMES,50010.0,STORY,AMERICAN CORDIALS & LIQUEURS,KINKY RUBY MINI,2,14.52,145.2,0.1,0.02
INV-57106200014,2023-03-30,4757,EZ MART / BONDURANT,BONDURANT,50035.0,POLK,AMERICAN VODKAS,SEAGRAMS EXTRA SMOOTH VODKA,3,24.21,242.10000000000002,2.25,0.59
INV-57102500026,2023-03-30,2538,HY-VEE FOOD STORE #3 (1866) / WATERLOO,WATERLOO,50702.0,BLACK HAWK,TENNESSEE WHISKIES,JACK DANIELS OLD #7 BLACK LABEL,6,285.48,2854.8,10.5,2.77
INV-57098900010,2023-03-30,5501,QUIK TRIP #530 / EUCLID,DES MOINES,50313.0,POLK,AMERICAN VODKAS,MCCORMICK 80PRF VODKA MINI,2,14.1,141.0,0.1,0.02
INV-57102600013,2023-03-30,2538,HY-VEE FOOD STORE #3 (1866) / WATERLOO,WATERLOO,50702.0,BLACK HAWK,SPECIAL ORDER ITEMS,SOOH PHILLIPS ROOT BEER SCHNAPPS,6,83.46,834.5999999999999,10.5,2.77
INV-57108200005,2023-03-30,6129,EAST END LIQUOR / DES MOINES,DES MOINES,50317.0,POLK,CANADIAN WHISKIES,CROWN ROYAL PEACH,6,157.44,1574.4,4.5,1.18
